Y-coordinate,Electric Potential,,,,,
0.516,1.25E-06,,,,,
0.518,1.24E-06,,,,,
0.52,1.23E-06,,,,,
0.522,1.22E-06,,,,,
0.524,1.21E-06,,,,,
0.526,1.20E-06,,,,,
0.528,1.19E-06,,,,,
0.53,1.18E-06,,,,,
0.532,1.17E-06,,,,,
0.534,1.17E-06,,,,,
0.536,1.16E-06,,,,,
0.538,1.15E-06,,,,,
0.54,1.14E-06,,,,,
0.542,1.13E-06,,,,,
0.544,1.12E-06,,,,,
0.546,1.11E-06,,,,,
0.548,1.11E-06,,,,,
0.55,1.10E-06,,,,,
0.552,1.09E-06,,,,,
0.554,1.08E-06,,,,,
0.556,1.07E-06,,,,,
0.558,1.07E-06,,,,,
0.56,1.06E-06,,,,,
0.562,1.05E-06,,,,,
0.564,1.04E-06,,,,,
0.566,1.04E-06,,,,,
0.568,1.03E-06,,,,,
0.57,1.02E-06,,,,,
0.572,1.01E-06,,,,,
0.574,1.01E-06,,,,,
0.576,1.00E-06,,,,,
0.578,9.93E-07,,,,,
0.58,9.86E-07,,,,,
0.582,9.79E-07,,,,,
0.584,9.73E-07,,,,,
0.586,9.66E-07,,,,,
0.588,9.59E-07,,,,,
0.59,9.53E-07,,,,,
0.592,9.46E-07,,,,,
0.594,9.40E-07,,,,,
0.596,9.33E-07,,,,,
0.598,9.27E-07,,,,,
0.6,9.21E-07,,,,,
0.602,9.15E-07,,,,,
0.604,9.08E-07,,,,,
0.606,9.02E-07,,,,,
